ingresos,gastos,Clase
0.034992429,0.32019538,1
0.016003544,0.16242178,1
0.099493293,0.154362015,1
0.341872926,0.305173614,1
0.191238838,0.109461629,1
0.32969341,0.130889876,1
0.098240507,0.209138259,1
0.204442508,0.195765282,1
0.373485768,0.241109525,1
0.189006827,0.324310528,1
0.433720824,0.22520007,1
0.090826033,0.106179577,1
0.321796232,0.264114141,1
0.318392586,0.209882959,1
0.320021516,0.186146012,1
0.230370671,0.3441137,1
0.268411279,0.303453528,1
0.236129005,0.311565973,1
0.268690402,0.074045043,1
0.329587439,0.273063546,1
0.133391991,0.255258886,1
0.106502301,0.256902605,1
0.182970774,0.269327611,1
0.237955824,0.224666921,1
0.248453343,0.314841977,1
0.326320309,0.333678066,1
0.300958441,0.100333733,1
0.237345964,0.300774869,1
0.199722414,0.342026774,1
0.298360402,0.227671512,1
0.138742632,0.142342254,1
0.326185016,0.138219651,1
0.266351617,0.229730785,1
0.380739314,0.161650772,1
0.282431668,0.108954923,1
0.192496721,0.214005361,1
0.120847599,0.336942541,1
0.236640458,0.281613631,1
0.095941833,0.10100613,1
0.237421974,0.334703103,1
0.368200792,0.166428214,1
0.26957065,0.331792035,1
0.057216813,0.279311362,1
0.317424951,0.143379319,1
0.340113495,0.322687117,1
0.229238575,0.14941836,1
0.206691442,0.14073415,1
0.37370484,0.287161565,1
0.267295127,0.122054951,1
0.345031112,0.259623945,1
0.245530321,0.153166086,1
0.333401911,0.248114637,1
0.228716348,0.250403209,1
0.032470046,0.192704811,1
0.288691891,0.078955085,1
0.220365749,0.137531088,1
0.310353182,0.159243048,1
0.085032094,0.163280414,1
0.297790225,0.27649878,1
0.389590815,0.302724975,1
0.083952641,0.123851317,1
0.168742783,0.315928043,1
0.090665133,0.343051348,1
0.213105258,0.350633272,1
0.278147325,0.1817786,1
0.116944246,0.331439587,1
0.27169354,0.237303707,1
0.362985756,0.262498706,1
0.260822352,0.218609089,1
0.124824461,0.177036001,1
0.261098642,0.087123834,1
0.480832462,0.17080815,1
0.25553972,0.207400862,1
0.260567674,0.199279238,1
0.193463833,0.159138379,1
0.427195099,0.264856973,1
0.328463852,0.340545332,1
0.139050427,0.224971934,1
0.43716439,0.338520223,1
0.045717997,0.292944114,1
0.314271937,0.28036707,1
0.127783772,0.159327762,1
0.251879532,0.275316763,1
0.183476063,0.193794348,1
0.315340476,0.21453962,1
0.153652985,0.312371202,1
0.311192454,0.211282256,1
0.234803068,0.320501865,1
0.238659707,0.142682919,1
0.183180973,0.11805902,1
0.342096311,0.190335099,1
0.400730384,0.16280838,1
0.161365725,0.241178855,1
0.028568642,0.253566974,1
0.349469514,0.251528449,1
0.246079935,0.140062145,1
0.052435984,0.207822724,1
0.100430277,0.27554028,1
0.224606252,0.248042683,1
0.156765176,0.160744045,1
0.823376606,0.909108738,2
0.745367988,0.879092515,2
0.877398802,0.831063217,2
0.92869512,0.912212439,2
0.966436726,0.8241123,2
0.833284908,0.816836728,2
0.915939897,0.776139111,2
0.855023605,0.871139393,2
0.846363473,0.980274941,2
0.895599559,0.965077607,2
0.953435436,0.914558755,2
0.7965373,0.856714804,2
0.850383474,0.815010577,2
0.810219786,0.977580316,2
0.751375697,0.90742278,2
0.945793029,0.937329625,2
0.751741969,0.931359541,2
0.798735449,0.887020783,2
0.739019302,0.898095374,2
0.7642604,0.848664878,2
0.787742508,0.874723204,2
0.861076583,0.969833874,2
0.948452572,0.90743889,2
0.953132859,0.852132785,2
0.804563649,0.950234373,2
0.996329322,0.818348654,2
0.902373355,0.818280553,2
0.741486793,0.853610008,2
0.968221711,0.812921815,2
0.898707512,0.977952893,2
0.907256074,0.974679336,2
0.714709505,0.890825458,2
0.890779248,0.86659947,2
0.781262177,0.903513861,2
0.99861295,0.919887653,2
0.807026822,0.842277642,2
0.818621271,0.975866858,2
0.884940423,0.879282877,2
0.937414123,0.855788455,2
0.969950636,0.853859935,2
0.953969788,0.921798599,2
0.772114193,0.89413934,2
